40.2	1093
42.6	10416
44.7	9278
44.9	1428
47.8	3967
48.7	4923
49.2	11021
50.5	7026
50.8	11749
51.7	4507
51.8	2190
52.9	295
53	4870
53.5	286
53.7	9734
53.9	1991
54	2609
54.2	10631
54.3	2460
54.4	1877
54.6	3650
54.6	8273
54.7	7528
54.9	4316
55	6042
55	6582
55.1	852
55.1	5694
55.3	3685
55.3	4149
55.4	10029
55.5	5458
55.7	12179
55.9	3550
56	9612
56.1	2046
56.2	8630
56.2	11327
56.3	271
56.4	5901
56.4	6096
56.5	2441
56.6	688
56.6	11035
56.8	9333
56.9	9468
56.9	9900
57	6363
57	8624
57	9396
57.1	738
57.1	9164
57.2	6105
57.2	8129
57.2	11175
57.3	3979
57.3	9879
57.4	8096
57.4	11598
57.4	12088
57.5	3512
57.6	4254
57.7	10321
57.8	3175
57.8	11353
57.9	8303
57.9	10715
57.9	10949
58	385
58	7869
58.1	1938
58.3	1303
58.3	4182
58.3	4187
58.3	4524
58.3	4779
58.4	9058
58.5	3755
58.5	7539
58.5	8916
58.5	12398
58.6	7297
58.6	11509
58.7	2984
58.7	3456
58.7	10870
58.8	7969
58.8	9275
58.8	10286
58.8	12053
58.9	1195
58.9	2969
58.9	4901
58.9	5414
58.9	6859
59	1224
59	3878
59	8861
59.1	2833
59.1	9976
59.1	10461
59.1	11625
59.2	1369
59.2	1812
59.2	1896
59.2	2374
59.2	4333
59.2	9667
59.4	7092
59.4	9250
59.5	7025
59.6	5970
59.6	9425
59.6	9671
59.6	11243
59.7	1736
59.7	12055
59.8	290
59.8	3941
59.8	6681
59.9	368
59.9	2195
59.9	9382
59.9	9670
60	1779
60	7047
60	7115
60	8020
60	9028
60	11300
60.2	8807
60.2	11120
60.3	1406
60.3	2819
60.3	7373
60.3	7392
60.3	8449
60.3	8490
60.3	10203
60.4	4232
60.5	1160
60.5	8272
60.5	11137
60.5	11581
60.6	10579
60.7	4584
60.7	6660
60.7	7372
60.7	7564
60.7	7731
60.7	7951
60.7	10049
60.7	11432
60.8	1615
60.8	6030
60.8	7508
60.8	10002
60.9	1298
60.9	2882
60.9	12155
61	66
61	291
61	2497
61	5094
61	7943
61.1	469
61.1	2081
61.1	5292
61.1	7841
61.1	8737
61.1	11238
61.1	12006
61.2	2070
61.2	2566
61.2	7214
61.2	8063
61.2	8481
61.2	11264
61.3	2658
61.3	4048
61.3	6460
61.3	7398
61.3	12017
61.3	12374
61.4	392
61.4	1470
61.4	2358
61.4	4633
61.4	5190
61.4	5198
61.4	7251
61.4	8278
61.4	8840
61.4	12381
61.4	12409
61.5	2921
61.5	3321
61.5	3526
61.5	3677
61.5	4001
61.5	9835
61.5	11256
61.6	1386
61.6	1500
61.6	2579
61.6	6039
61.6	6688
61.6	7439
61.7	3793
61.7	6304
